TCGA-2H-A9GJ-01A-11R-A37I-31	TCGA-IC-A6RF-01A-13R-A336-31	TCGA-IG-A5B8-01A-11R-A28J-31	TCGA-JY-A6F8-01A-11R-A336-31	TCGA-JY-A6FB-01A-11R-A336-31	TCGA-JY-A93F-01A-21R-A37I-31	TCGA-KH-A6WC-01A-11R-A336-31	TCGA-L5-A43E-01A-11R-A24K-31	TCGA-L5-A4OG-01A-11R-A260-31	TCGA-L5-A4OH-01A-11R-A260-31	TCGA-L5-A4OJ-01A-11R-A260-31	TCGA-L5-A4OM-01A-11R-A260-31	TCGA-L5-A4OP-01A-11R-A260-31	TCGA-L5-A4OR-01A-11R-A260-31	TCGA-L5-A88S-01A-11R-A36D-31	TCGA-L5-A893-01A-11R-A36D-31	TCGA-L5-A8NW-01A-11R-A37I-31	TCGA-S8-A6BW-01A-11R-A31P-31	TCGA-V5-A7RE-01A-11R-A354-31
A2M|2	49.8841	58.4457	5.8648	52.546	124.4946	8.2652	24.9753	45.7879	78.4127	50.4954	47.0361	70.523	73.8858	110.7516	600.5831	122.6339	139.1814	31.0592	26.0245
A4GALT|53947	2.696	5.1398	3.614	0.8676	2.7162	7.7219	5.8726	1.7052	6.282	4.7711	1.3721	3.7245	17.3691	2.6394	21.9635	4.8589	8.4927	56.3788	2.8045
A4GNT|51146	4.3259	0.0104	0.0189	0.0222	1.4877	0	0.0384	7.3086	2.8144	0.0065	0.2297	0.0393	0	0.8369	0	1.4889	0.0499	0.0683	0.4236
AAA1|404744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS|8086	13.6371	12.0691	5.2243	19.2652	23.6425	17.0279	9.8793	11.1629	14.1556	13.6755	25.1587	21.6683	9.2895	18.4549	16.9625	18.9317	11.8153	19.3095	23.6901
AACSL|729522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AACS|65985	9.251	8.6541	6.4026	7.1429	13.827	12.7196	13.9168	10.2257	12.7086	6.6249	18.9156	18.3872	5.569	12.9808	7.3721	10.6985	11.696	7.6169	19.1268
AADACL2|344752	0	0	0	0	0.0048	0	0.1312	0.0083	0.0208	0.0041	0	0.06	0.06	0.0401	0.1547	0.0745	2.4189	0.0321	0
AADACL3|126767	0	0.0164	0.043	0	0	0	0	0.0078	0	0	0	0	0.0034	0	0.0128	0	0	0	0
AADACL4|343066	0	0	0	0	0	0	0.0039	0	0	0	0	0	0	0	0	0	0.0086	0.0035	0
AADAC|13	14.3885	0.3419	0.4863	3.2528	16.4011	0.2759	1.6046	1.8087	10.2013	4.2663	64.5647	0.4793	0.3494	5.8318	0.8182	11.716	1.0201	28.6017	6.8774
AADAT|51166	2.3395	1.4442	0.6164	2.0928	7.1593	0.1591	1.0339	0.7703	2.2905	7.4777	2.4786	5.3684	1.2969	1.769	1.1285	3.5278	0.8168	1.5607	2.1886
AAGAB|79719	19.2371	21.4252	24.7069	26.5155	26.815	17.6765	8.5116	18.4185	16.9034	13.808	23.997	15.6852	24.451	35.6437	11.1808	16.6631	17.0634	12.3741	24.7479
AAK1|22848	3.7873	3.4191	3.0633	1.3972	3.9361	3.03	3.5684	2.7167	4.0318	4.7664	3.4242	7.5693	5.0648	7.6583	4.1412	3.7734	4.6043	9.2706	4.0436
AAMP|14	60.1447	48.6686	43.6183	59.5247	47.8611	36.7674	26.1646	51.3187	49.0476	69.6651	64.8275	42.0005	74.7049	54.7305	24.717	37.29	25.8379	14.7255	87.353
AANAT|15	0.0587	0.1967	0.0887	0.0238	0.0968	0.1178	0.0573	0.1688	0.0827	0.113	0.0033	0.0979	0.1544	0.0217	0.064	0.271	0.1955	0.0989	0.0135
AARS2|57505	7.649	3.5	2.8256	10.1044	32.4057	3.8836	6.6666	5.2823	3.7759	7.5332	7.0185	7.4426	8.2119	7.0826	7.0174	6.2523	4.6257	5.0146	4.6175
AARSD1|80755	3.1833	3.2078	1.8968	6.5918	3.7276	3.5941	1.7338	5.6071	4.3168	2.9818	5.8868	3.2779	6.4111	3.7552	4.7949	3.0969	2.0018	3.7032	3.2101
AARS|16	54.365	19.2206	18.0476	50.9342	41.0731	14.4755	10.7968	54.6151	127.6694	69.8902	26.9536	57.5833	31.8187	38.2601	26.8495	28.6493	15.0069	40.096	56.3852
AASDHPPT|60496	9.7697	18.9602	11.7631	17.2303	12.0457	15.5153	9.6884	11.5967	19.9523	20.7335	16.7823	12.256	10.3275	14.5428	10.0182	9.3761	13.6156	15.4137	15.0937
AASDH|132949	0.857	2.1273	0.9828	2.7474	1.2974	2.3106	1.4477	1.9177	1.9753	3.2819	2.1963	3.6014	2.747	1.5052	1.0675	1.9012	1.8251	0.9816	1.3689
AASS|10157	1.5797	0.8362	0.963	0.9354	2.7566	0.5919	2.137	2.7658	1.2888	4.1449	0.7441	6.0568	3.695	1.424	2.4019	1.7768	1.9677	3.0303	0.842
AATF|26574	28.1624	26.5648	16.8702	29.4629	34.2701	30.506	9.9077	43.6735	25.9146	15.9419	33.3797	20.9885	27.0212	22.78	29.2247	26.8471	15.5054	37.4829	27.4805
AATK|9625	22.612	2.333	1.0943	5.0136	2.0511	3.1899	0.21	7.378	0.7628	10.8513	0.4151	0.4414	10.677	1.6537	2.1412	4.5116	0.9964	0.3352	1.3257
ABAT|18	17.7045	25.4794	1.3475	4.0333	3.6334	5.1274	4.8467	5.095	1.4024	2.1428	1.1446	4.6092	10.2734	3.9671	1.3121	8.0649	2.0386	2.2955	0.3891
ABCA10|10349	0.2002	0.2325	0.347	0.1595	0.1908	0.0772	0.1842	0.5192	1.0806	0.3864	0.8446	0.5652	0.5966	0.2193	0.1935	0.3773	0.5319	0.3786	0.2713
ABCA11P|79963	2.0762	4.2168	1.3482	5.2663	2.6503	3.3964	1.9459	6.0881	3.6589	6.8119	3.4127	5.2051	14.4094	3.4514	2.2629	3.4877	3.3294	2.4995	2.8217
ABCA12|26154	1.0278	17.0716	10.9183	0.0177	1.1374	12.7517	1.4408	0.0498	1.6062	0.4307	4.8452	10.7912	2.5295	0.4364	1.8411	2.0447	10.7138	1.6664	0.2346
ABCA13|154664	0.5193	0.3116	0.0772	0.0893	0.0948	0.0259	0.4728	0.5679	0.2923	0.6365	0.4354	4.4595	0.6189	2.4959	0.0246	0.3789	1.4535	16.9132	0.0312
ABCA17P|650655	0.017	0.0095	0.0172	0.0047	0.0066	0.0063	0.0116	0.0104	0.0791	0.1311	0.0139	0.0976	1.8998	0.008	1.1216	0.0364	0.0217	0.0381	0.0102
ABCA1|19	0	0	0.0274	0	0	0	0.0336	0.0309	0.0304	0.0188	0.03	0.02	0.0248	0.0015	0.0775	0.0287	0.0488	0.0995	0
ABCA2|20	11.1954	2.5204	1.1865	0.9705	8.7433	1.1378	2.0436	2.3201	6.7714	9.4277	4.6783	8.4864	18.1787	8.2754	6.2984	3.8981	4.0347	4.5969	7.802
ABCA3|21	1.5625	11.9932	0.0454	0.3971	1.0687	0.0873	0.8766	0.26	3.8457	5.0066	2.7626	1.7912	2.5475	0.8808	3.9866	1.967	0.6779	0.6849	0.1363
ABCA4|24	0.1221	9.9179	0.2035	0.0354	0.0341	0.0209	0.0106	0.005	0.0147	0.0248	0.0116	0.0136	0.0119	0.2604	0.0665	0.1255	0.0285	0.0226	0.0193
ABCA5|23461	2.5714	3.453	1.4003	0.8727	0.7084	1.892	4.3606	6.0682	4.5564	3.4784	4.2812	3.2011	5.2546	2.1882	1.1897	3.0458	4.6029	4.9737	0.6247
ABCA6|23460	0.1491	0.2954	0.0463	0.0292	0.0411	0.0501	0.257	0.2141	0.1972	0.415	0.2236	0.4915	0.3551	0.4303	1.494	0.5347	1.0655	0.2504	0.0319
ABCA7|10347	2.7928	4.6761	2.1671	1.2801	7.7454	3.7578	6.3079	1.833	5.8523	2.3545	6.1505	7.6041	4.1596	3.2506	3.0563	5.1727	3.8631	3.9896	1.9525
ABCA8|10351	0.1036	0.3082	0.0055	0.0644	0.1645	0	0.1922	0.7544	0.4999	0.148	0.2197	0.561	0.3878	0.8275	2.867	1.516	0.7527	0.0023	0.0664
ABCA9|10350	0.3162	0.1728	0.0489	0.0147	0.1901	0.0062	0.1001	0.3307	0.1419	0.398	0.3176	0.3353	0.6015	0.1928	0.7643	0.3056	0.8455	0.1848	0.1098
ABCB10|23456	5.3884	6.295	3.84	3.1041	10.5286	6.684	3.4224	6.9367	8.8362	24.716	3.6237	10.8256	5.618	5.0278	4.0815	6.7762	8.3418	8.7257	11.5617
ABCB11|8647	0.0376	0.012	0.1288	0	0	0.0073	0.0583	0.0207	0.6058	0.0502	0.0187	0.0394	0	0.0053	0	0.0549	0.0596	0.0017	0.0838
ABCB1|5243	0.4457	0.6595	0.0552	0.2919	0.4622	0.038	0.6143	0.4661	0.7707	0.641	0.4424	0.3855	0.838	0.9988	0.8837	1.265	1.5819	0.1487	0.2224
ABCB4|5244	0.2659	0.1177	0.0291	0.0346	0.08	0.0348	0.0547	0.2344	0.0741	0.2217	0.0737	0.2603	0.1978	0.097	0.1126	0.2065	0.1938	0.1705	0.0826
ABCB5|340273	0.0031	0	0.0051	8e-04	0.0024	0	0.0014	0.0067	0	0.0018	0	0.0049	0.0054	0	0.0146	0.0059	0.0061	0.0295	0
ABCB6|10058	25.2148	13.4867	14.8369	26.736	17.0688	11.7987	11.1545	11.777	15.3977	31.647	18.2995	19.0499	17.3821	19.2467	8.5459	13.7804	12.0829	7.7704	21.1437
ABCB7|22	7.2972	8.1845	5.7225	6.9024	6.8538	6.9408	5.456	10.9574	8.3262	13.9821	13.8499	10.9511	10.406	10.9507	5.7383	9.602	9.8649	6.461	12.2331
ABCB8|11194	4.3664	4.6088	6.3608	4.5883	12.0218	7.4467	5.1649	5.3092	5.2427	15.6293	11.6382	3.6909	4.0798	6.9154	6.7506	9.615	5.5454	6.2241	7.1168
ABCB9|23457	0.7528	3.5802	0.7027	0.545	1.2297	1.2937	1.2882	1.0764	3.5919	1.0567	1.2177	1.7185	0.8257	1.8103	0.9605	0.8742	0.8249	1.1901	1.6863
ABCC10|89845	8.2771	7.3133	5.9765	6.1344	35.3961	2.8838	3.3352	5.4541	5.5261	8.2906	7.1285	7.8654	22.3171	5.7574	8.6189	6.4969	4.1179	6.6649	9.7828
ABCC11|85320	0.2204	0.0403	0.1312	0.0325	0.0673	0.0502	0.038	0.0332	0.0967	0.1033	0.0184	0.1508	0.0557	0.0494	0.035	0.0665	0.1904	0.1019	0.0734
ABCC12|94160	0.0109	0	0.0012	0	0.0086	0	0	0	0	0.0049	0	0	0	0	0	0.0054	0	0	0
ABCC13|150000	0.0984	0	0.007	0.0083	0.0331	0	0.3233	0.0111	0	1e-04	0.0159	0.0065	0.0603	0.0099	0	1.184	0.0245	0.0243	0.0427
ABCC1|4363	20.1345	36.3181	13.9668	14.664	22.8481	9.1437	24.8069	18.317	19.6783	27.6788	15.3351	47.8067	18.6892	26.2375	27.391	17.6893	27.327	100.7833	40.6929
ABCC2|1244	0.6113	1.6641	0.4471	0.3369	0.3955	0.1407	0.3172	0.3418	0.1068	25.9161	0.0448	0.2779	0.537	0.1951	0.3325	0.188	0.2164	0.3145	0.485
ABCC3|8714	86.6358	27.3121	4.6221	36.233	76.2563	0.079	2.6163	65.168	67.4913	65.1077	59.3006	1.1133	80.271	27.8178	6.4016	45.0139	9.7181	5.8667	27.3426
ABCC4|10257	3.2485	2.0915	0.7415	1.0834	2.9768	1.6432	0.7503	1.9527	8.9221	6.71	2.2072	4.725	2.9127	5.1149	2.5438	1.8418	2.6979	5.7162	6.0444
ABCC5|10057	16.8285	14.0458	4.9917	1.2884	2.7219	8.6184	7.5291	4.8431	2.7735	5.9114	6.852	52.2083	10.9235	9.5526	4.0507	5.4508	8.7017	50.7328	5.7499
ABCC6P1|653190	0.5057	0.0025	0.0026	0.3233	0.0386	0.006	0.0044	0.2534	0.0954	1.5058	0.3152	0	0.3552	0.3353	0	0.1967	0.0882	0.0147	0.3047
ABCC6P2|730013	0.8002	0.0094	0	0.0798	0.2347	0	0	1.018	0.0819	1.0023	0.0506	0.0819	0.9375	0.5892	0.0367	0.7131	0.2867	0.0156	1.0366
ABCC6|368	3.262	0.0679	0.0196	1.1653	0.2672	0.0198	0.0717	1.685	0.5536	3.6872	0.9205	0.1499	3.4983	0.7149	0.0873	3.0104	0.1996	0.2774	0.8914
ABCC8|6833	0.7075	0.0026	0	0.03	0.0252	0	0.0027	0.0309	0.005	0.0218	0.011	0.0604	0.0151	0.267	0.0176	0.0866	0.0026	0.0021	0.0324
ABCC9|10060	0.0968	0.4848	0.0981	0.2235	0.375	0.0924	0.1417	0.2406	0.2183	0.2445	0.2359	0.2733	0.2859	0.7038	8.4354	0.5125	0.7932	0.5529	0.0664
ABCD1|215	7.7858	7.8711	24.1776	27.6381	15.8954	5.6598	2.5044	21.8705	6.8038	8.1183	12.3749	8.4113	20.5106	9.8792	8.6324	6.4294	4.2063	7.0778	7.188
ABCD2|225	0.0291	0.0468	0.0113	0.0021	0.0134	0.0032	0.0209	0.0774	0.3006	0.0182	0.097	0.0487	0.1457	0.1323	0.1454	0.1848	0.2037	0.0186	0.0195
ABCD3|5825	17.8139	4.9762	3.872	12.046	18.5931	6.5876	13.4756	19.0351	8.1201	15.8232	22.7806	14.825	20.9398	23.3974	6.5168	23.2971	13.1926	4.6851	19.747
ABCD4|5826	6.4832	3.5648	2.8869	8.1147	5.3919	3.259	3.6138	13.5741	4.5104	6.825	10.4884	5.4309	11.5336	6.8535	5.3277	10.0874	4.3661	4.7245	8.7394
ABCE1|6059	34.2091	25.0018	16.383	48.3151	23.158	37.7812	9.6435	36.6577	24.2882	32.3436	33.5648	28.1087	26.2647	21.6435	9.9246	14.7055	20.9252	20.5418	17.3652
ABCF1|23	47.6941	23.959	28.2514	23.2986	25.4106	21.265	12.5298	42.3677	20.9253	43.9522	47.3279	32.8869	19.7633	30.2883	23.7713	26.731	20.5425	24.0324	36.6486
ABCF2|10061	17.3054	21.5042	21.5937	21.3594	28.1568	21.9229	8.4001	35.3936	21.7898	35.4604	20.5283	13.3928	13.6321	16.0327	14.1566	13.9662	13.6952	25.2308	21.4463
ABCF3|55324	18.5036	17.9731	26.909	23.2546	19.0833	12.8634	11.5579	31.9236	13.5128	16.0865	18.9477	27.2891	17.8999	20.0842	14.1594	14.9563	11.253	20.7634	16.7673
ABCG1|9619	11.488	2.0686	3.2234	5.0196	2.1511	2.5487	3.0359	4.1954	3.32	3.8496	19.6474	2.9192	8.5903	4.8202	5.6928	12.138	6.3576	6.0435	2.458
ABCG2|9429	0.6325	0.3441	0.1238	1.0503	0.9141	0.0616	0.6217	0.4682	0.1836	13.4161	0.345	0.271	0.2953	0.808	0.3615	2.6498	0.6727	0.1674	2.6639
ABCG4|64137	0.0411	0.9663	0.058	0.0286	0.0941	0.8855	1.0488	0.013	0.1082	0.1437	0.0272	0.0453	0.0296	0.0693	0.2364	0.2197	1.0795	0.2329	0.0561
ABCG5|64240	0.3404	0.0172	0.0064	0.6372	0.1061	1e-04	0.015	0.1905	0.3372	0.0936	11.3596	0.0723	0.1118	3.3273	0.034	0.0903	0.1944	0.0199	0.5186
ABCG8|64241	0.8387	0.0195	0	0.5715	0.1215	0	0	0.256	0.2324	0.0508	29.1517	0.0283	0.0467	5.6881	0.004	0.1099	0.2276	0.0521	0.0812
ABHD10|55347	8.871	5.7068	5.0884	10.1585	10.8474	7.8974	3.7789	8.9411	12.0868	9.187	21.8817	15.9226	7.4998	20.256	4.9877	9.0313	6.415	9.995	10.4422
ABHD11|83451	31.4758	12.0167	9.0914	24.5295	24.6713	8.7715	4.4083	24.6603	23.4455	133.7613	28.3364	7.5237	43.0532	32.1775	8.3438	22.5282	17.3435	13.3663	26.6139
ABHD12B|145447	0.0354	2.5567	0.305	0	1e-04	0.4325	0.1943	0.0123	0.0576	0.009	0	0.4531	0.2468	0.0186	0.4481	0.0675	0.3793	0.1118	0
ABHD12|26090	23.0069	28.1852	18.27	56.9497	30.2612	14.5619	24.5677	38.026	23.1618	16.0873	23.2138	16.8836	27.6189	23.487	21.0748	30.1518	20.9339	10.0247	37.856
ABHD13|84945	3.5753	3.597	3.6959	3.21	3.8725	6.0789	2.4538	12.9654	7.7608	4.8401	4.0588	4.1375	8.644	6.426	2.7761	4.6297	5.6355	6.4497	5.2599
ABHD14A|25864	5.0081	4.0221	4.8672	6.7914	6.7818	5.199	1.5951	6.8832	2.5606	2.1958	4.4885	1.0253	1.6504	10.2813	4.3376	7.1334	2.5775	3.0562	13.7763
ABHD14B|84836	21.7322	28.254	11.9043	33.5065	22.4894	19.6336	14.0331	31.621	12.2637	14.6873	16.5979	6.4576	21.2755	27.4574	13.8693	32.2537	9.2131	20.8267	25.3725
ABHD15|116236	11.326	6.2189	5.6081	6.7477	14.2557	3.0856	3.077	7.9867	3.8913	6.5831	7.9667	3.8759	4.6208	9.2595	3.2287	6.3526	4.5333	10.4492	14.3644
ABHD1|84696	0.2614	0.1593	0.2037	0.1528	0.1501	0.159	0.0851	0.2275	0.229	0.4096	0.1866	0.2727	0.3697	0.3	0.2889	0.2274	0.1508	0.2873	0.2735
ABHD2|11057	81.8729	15.5084	7.0564	105.7746	75.4271	9.8913	8.8677	129.176	38.6999	28.4824	105.6597	32.5032	144.5271	261.2873	18.3717	73.7948	34.0953	30.4619	76.8231
ABHD3|171586	27.2878	4.2994	6.1002	6.4034	21.9574	2.6807	6.546	14.4329	22.5546	10.4208	15.6045	9.1342	7.2028	32.1784	3.5957	11.6798	11.2253	8.8658	22.5173
ABHD4|63874	10.9148	17.111	11.8712	9.4334	9.3467	6.2506	28.892	18.4247	9.6613	30.8255	13.3111	17.8202	11.553	29.0817	12.998	11.8669	15.2979	54.0546	17.0668
ABHD5|51099	6.068	24.7762	4.1424	4.008	4.1592	19.0302	13.1733	4.5671	3.8987	2.9466	4.2327	5.4242	4.0469	9.687	6.7229	5.6651	11.6735	5.9029	5.6195
ABHD6|57406	4.3764	3.1734	1.3005	9.4805	8.7273	1.7842	3.4602	4.1852	3.1691	3.7552	2.9157	3.9422	2.1273	11.8102	3.2603	7.1337	4.4427	3.0691	9.496
ABHD8|79575	3.3417	5.9117	7.8145	2.7272	4.0826	1.0325	3.3562	4.5034	7.5085	3.8771	4.6122	6.8928	2.2741	8.183	6.9846	6.0954	2.0698	8.2197	5.2247
ABI1|10006	28.6692	44.0373	23.1027	26.468	22.3618	44.5806	30.7399	25.6013	16.9255	30.8112	26.5845	30.9392	25.5909	28.2456	20.2012	24.6183	35.5204	41.2884	18.4743
ABI2|10152	7.7232	5.2282	1.2708	4.2845	5.6644	2.3931	1.8307	5.0353	9.3436	7.1692	5.4643	10.1963	7.8124	6.0289	6.3091	4.7689	5.6561	6.9841	8.162
ABI3BP|25890	0.6968	1.3515	0.2221	0.0663	0.1186	0.0329	0.4805	0.5308	0.8186	1.0165	0.3304	1.7298	0.9646	1.5714	14.2763	2.7582	3.0882	0.3663	0.0571
ABI3|51225	1.1447	3.4672	0.7977	1.2854	4.9158	0.4453	1.9679	2.3103	4.7458	1.8538	2.4366	1.9216	3.9152	3.5132	5.129	6.5392	4.5669	1.5535	2.2081
ABL1|25	21.1323	17.2954	9.6943	19.6394	28.9057	20.5591	10.1498	19.7742	21.2187	24.4922	17.3281	21.4522	20.5718	26.2699	39.8213	25.6747	21.4265	28.472	15.8891
ABL2|27	3.9434	4.6036	5.0092	2.0487	3.9232	4.4762	0.8244	3.9952	4.7279	5.8737	3.6345	6.2561	2.7412	4.0461	6.1005	2.9456	5.1404	6.7892	3.1356
ABLIM1|3983	83.6767	120.5811	12.5575	58.9035	65.8179	131.4146	134.1788	70.4632	45.8737	23.9619	68.0224	69.9525	35.2316	35.8986	20.9369	62.2366	93.3951	31.1332	22.6258
ABLIM2|84448	1.5389	0.226	1.5934	4.4772	0.6125	0.4709	5.7953	1.761	1.1393	5.5162	4.4106	1.5998	16.066	1.2691	3.9589	2.2125	3.2506	1.7415	1.6912
ABLIM3|22885	1.1724	1.0189	4.8564	0.9977	4.2392	4.9419	40.949	0.6829	6.5511	2.516	3.4424	4.853	2.0656	2.6115	14.0689	5.2609	13.5533	1.0481	8.8462
ABO|28	0.8505	0.0377	9.5862	2.632	5.4823	0.0027	16.664	44.3772	6.1713	6.5502	46.7715	11.3779	16.1482	5.3886	0.5609	11.4286	9.4784	28.6049	6.1366
ABP1|26	72.6693	1.355	0.2802	31.2066	9.986	1.6182	1.4297	78.6379	8.9727	58.1799	30.7774	0.1296	51.4816	19.94	0.0565	66.2265	11.3483	0.0334	21.6059
ABRA|137735	0.0215	0.0344	0	0.0123	0.0156	0.0187	0.008	0.0404	0.0077	0.0158	0.0104	0.0365	0.033	0.0038	0.0941	0.0478	0.0049	0.014	0.0234
ABR|29	20.6734	19.4093	5.4717	15.1204	28.7292	11.4557	46.7389	25.5904	27.3004	29.1203	37.5796	21.9544	24.1924	38.9767	14.4032	34.2498	32.1076	15.1846	29.8586
ABT1|29777	4.4991	14.148	15.7643	7.725	8.2104	12.9613	6.9131	19.3712	8.3736	10.6157	11.8509	10.8372	7.0777	9.1118	9.8457	11.0455	6.947	10.3414	18.9664
ABTB1|80325	26.8841	11.852	7.58	12.413	8.4455	6.7553	3.0501	9.4775	21.4408	8.0063	26.9136	19.9084	17.0237	12.7325	10.8492	13.1607	9.3307	7.4682	14.0305
ABTB2|25841	5.5144	0.3804	2.3208	3.538	8.1163	0.6086	7.2142	14.5439	7.5169	24.8629	6.8425	16.7643	7.4459	8.1983	1.3433	9.7956	6.4004	3.2965	8.3896
ACAA1|30	32.2355	20.2882	18.3924	30.6619	23.267	29.5848	33.7903	25.0758	19.4536	18.8433	13.6963	8.0781	13.8215	29.9938	13.954	36.0779	26.8381	8.9913	37.1141
ACAA2|10449	26.9519	20.9844	4.0575	63.8394	227.1221	0.9401	6.0413	111.1558	24.8222	30.0109	76.9318	5.6253	42.1498	16.3738	31.0147	40.2712	15.9622	6.9326	84.7651
ACACA|31	15.3958	14.3719	3.0159	5.7808	13.3124	9.5325	11.073	10.4817	10.8655	8.1686	5.6186	20.6766	12.9118	7.6305	9.8605	8.4485	13.5462	15.9705	8.5055
ACACB|32	5.4587	1.4091	0.1732	3.2163	2.7169	0.0721	0.6252	2.6107	2.6497	1.2545	1.9767	2.1219	4.2236	4.8232	3.6123	2.6537	1.7244	0.8261	1.6312
ACAD10|80724	4.2898	4.3466	2.2316	4.2983	7.2449	3.4222	2.9941	9.8218	4.5599	2.9643	4.4696	5.7401	3.3831	6.948	4.4064	6.1043	3.158	2.7574	6.183
ACAD11|84129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAD8|27034	3.3445	4.7857	1.5478	3.9552	4.0737	2.3658	2.2706	4.958	4.9467	6.4263	5.4601	2.1932	2.7661	4.0014	2.2965	3.6129	3.6034	2.2163	4.7799
ACAD9|28976	12.6036	20.2599	17.566	11.7159	12.5042	10.8965	13.1441	10.502	9.6598	8.1999	10.6713	18.2448	9.9577	13.355	11.3475	12.4491	8.7509	17.2961	14.41
ACADL|33	0.2208	0	0.0312	0	0.3744	0	0.2565	0.0021	0.0426	0.0364	0.0053	0.3984	0.1849	0.1168	0.0348	0.0187	0.0248	0	0.0073
ACADM|34	15.6702	10.8307	3.5934	12.0157	13.971	7.0665	16.6683	11.6027	9.6895	10.4732	14.2344	12.0751	9.606	14.1212	7.4607	12.4696	8.2738	4.9391	5.1368
