TCGA-KL-8336-01A-11R-2315-07	TCGA-KL-8339-01A-11R-2315-07	TCGA-KL-8341-01A-11R-2315-07	TCGA-KN-8426-01A-11R-2315-07	TCGA-KN-8427-01A-11R-2315-07	TCGA-KO-8404-01A-11R-2315-07
CACNG4|27092	0.382	0.3592	0	4.4715	0	0.5482
CACNG5|27091	0	0	0	0	0	0
CACNG6|59285	0	0.3592	0	0	0.6575	0
CACNG7|59284	0	0	0	0	0	1.6447
CACNG8|59283	0	0	0	0.4065	1.3149	1.0965
CACYBP|27101	653.6147	933.5489	767.4842	665.4472	1590.0749	1673.7939
CADM1|23705	226.5304	32.3276	227.3301	193.0894	552.5979	503.8377
CADM2|253559	22.1564	0	0.8409	0.4065	0	2.193
CADM3|57863	8.0527	6.0812	3.5879	7.5447	62.8798	332.7851
CADM4|199731	1827.9056	1339.7989	260.9671	1297.9675	276.4633	75.6579
CADPS2|93664	2693.1525	202.5862	1309.0399	2223.9837	70.6773	213.2675
CADPS|8618	3.4381	3.2328	359.3553	1.2195	1.6437	9.3202
CAD|790	400.7258	341.5948	393.8332	380.0813	4511.513	1393.0921
CAGE1|285782	0.764	0.3592	0.5606	0.813	0	6.5789
CALB1|793	3.8201	3.9511	2.5228	5.6911	0.3287	0
CALB2|794	5.3481	0	0.5606	1.626	56.8706	7.6754
CALCA|796	64.9413	90.158	26.6293	729.6748	0	3.2895
CALCB|797	1.91	0	5.3259	29.2683	0	0
CALCOCO1|57658	2064.7503	2371.0489	1814.9965	1075.2033	1257.7272	950.1096
CALCOCO2|10241	1693.439	2104.1667	1589.3483	1415.0407	2480.2802	1395.2851
CALCRL|10203	450.0048	170.977	205.7463	341.8699	372.1242	70.7237
CALCR|799	673.4791	0.7184	0.5606	3.252	0.6575	5.4825
CALD1|800	1105.9116	705.819	1002.3826	859.3496	1716.9653	9325.1096
CALHM1|255022	0	0	0	0	0.3287	7.6754
CALHM2|51063	135.9947	58.908	56.0617	80.4878	345.497	1280.7018
CALHM3|119395	0.764	0.3592	0	0.813	0	1.6447
CALM1|801	16175.3414	2096.2644	9412.4737	8619.9187	3994.0894	7626.6447
CALM2|805	12119.1863	9616.0201	7295.0245	6843.4959	20681.4936	8174.3421
CALM3|808	15354.4074	9142.2414	5124.0364	6655.2846	3195.929	5887.6096
CALML3|810	0	0	0.2803	0	0	0
CALML4|91860	275.0454	223.4195	167.3441	232.1138	148.5867	618.9693
CALML5|51806	0	0	0	0	0	0
CALML6|163688	0.764	0.3592	0	0.4065	1.3149	1.0965
CALN1|83698	3202.3684	1.796	0.2803	0.813	0	17.5439
CALR3|125972	0	0.3592	0	0	0.3287	0.5482
CALR|811	16888.9313	22622.8448	16437.8416	14408.1301	20119.3625	26654.057
CALU|813	4114.9842	3195.7615	4929.2221	5439.8374	13597.9842	15736.8421
CALY|50632	0	0	0	0	0.3287	0
CAMK1D|57118	127.5905	343.3908	178.2761	104.4715	103.8792	38.3772
CAMK1G|57172	12.2242	147.2701	5.3259	4.878	7.8896	30.1535
CAMK1|8536	1664.5363	738.926	189.3679	147.3171	286.963	592.9605
CAMK2A|815	0	0.3592	0.2803	0.813	0.3287	68.5307
CAMK2B|816	686.0854	26.5805	526.4191	43.9024	1.6437	40.0219
CAMK2D|817	426.3203	781.25	1794.2537	942.6829	1277.1224	1324.0132
CAMK2G|818	331.2005	202.5862	283.9523	310.1626	1266.2743	560.307
CAMK2N1|55450	5251.4564	4990.3017	6380.939	2118.2927	907.6281	3400.7675
CAMK2N2|94032	64.5593	28.3764	4.7652	3.252	15.1217	749.4518
CAMK4|814	4.9661	1.796	1.9622	8.9431	4.6022	13.1579
CAMKK1|84254	66.4693	77.9454	45.6903	107.7236	294.5435	425.4386
CAMKK2|10645	1288.8931	725.2155	1027.0498	2462.6016	1450.6927	1242.3246
CAMKV|79012	0	0	0	0	0	1.0965
CAMLG|819	707.8598	672.4138	503.7141	668.6992	3050.6296	902.9605
CAMP|820	0	0.7184	0	0	0.3287	1.6447
CAMSAP1L1|23271	1800.4011	1648.7069	2259.2852	885.3659	1829.7203	1593.75
CAMSAP1|157922	540.5405	278.0172	888.0168	503.6585	1066.4054	326.7544
CAMTA1|23261	1050.9025	513.2902	378.6966	633.7398	285.9965	911.1842
CAMTA2|23125	951.5806	613.1466	1122.0743	1002.439	1445.7617	2468.2018
CAND1|55832	3068.6658	1680.6753	4115.487	1295.122	3238.6641	978.6184
CAND2|23066	221.1823	44.8994	46.8115	16.6667	9.5332	38.3772
CANT1|124583	1067.7108	1919.5402	992.2915	979.2683	1520.3838	1841.0088
CANX|821	24624.5822	38810.3448	19831.2544	31726.4228	24427.3906	17449.5614
CAP1|10487	3682.9338	3061.7816	2973.7912	2952.439	8799.8172	6243.4211
CAP2|10486	27.1225	16.8822	36.7204	196.748	448.7187	125.5482
CAPG|822	1893.2289	1449.7126	2123.0554	3411.7886	13954.9868	4126.6447
CAPN10|11132	346.4808	179.2385	339.7337	1025.748	331.6902	641.4474
CAPN11|11131	2.292	0.7184	0.5606	1.2195	4.6022	8.7719
CAPN12|147968	38.216	33.75	17.9201	58.0122	52.5642	103.5033
CAPN13|92291	115.7483	57.4713	491.9411	568.2927	5.9172	0.5482
CAPN14|440854	0	0	0	0	0.9862	0
CAPN1|823	7196.5658	4331.8966	5293.3427	8230.7724	3154.8178	3103.0702
CAPN2|824	12197.4979	7206.5374	7693.3427	8953.252	12996.4053	2120.614
CAPN3|825	43.5488	28.8506	17.0988	42.7805	30.572	119.5175
CAPN5|726	639.4805	467.6724	1024.527	558.1301	326.7592	1028.5088
CAPN6|827	11.4602	0.7184	3.3637	0.813	31.887	5.4825
CAPN7|23473	705.5678	672.4138	1075.2628	368.6992	550.9542	403.5088
CAPN8|388743	1.528	1.0776	4.7652	1.2195	1.9724	0
CAPN9|10753	0	0	29.7127	0	0	0
CAPNS1|826	9479.1328	6813.9368	3990.7498	7487.3984	5532.5535	5017.5439
CAPNS2|84290	0.382	0	0.2803	0.4065	0.6575	0
CAPRIN1|4076	6498.7107	5509.6983	6574.0715	1598.374	6092.7122	2683.6623
CAPRIN2|65981	357.559	262.2126	490.2593	212.6016	420.119	506.0307
CAPS2|84698	153.185	348.4195	421.8641	171.5447	29.5858	10.9649
CAPSL|133690	2.6741	0	0	0	1.6437	0
CAPS|828	74.1094	110.9914	503.9944	911.7886	553.2553	466.557
CAPZA1|829	1471.1107	1004.6695	1243.1675	985.3659	3927.0282	4473.6842
CAPZA2|830	5029.8921	7063.9368	8666.8535	4770.7317	2429.6555	1546.0526
CAPZA3|93661	0	0	1.4015	13.0081	0.6575	0
CAPZB|832	3684.0798	3022.6293	1796.4961	2648.374	4155.4966	10084.4298
CARD10|29775	234.9346	58.908	51.857	1091.6829	2123.9351	46.6009
CARD11|84433	87.8617	35.5603	2.8031	100.4065	65.7463	31.7982
CARD14|79092	22.5384	33.046	3.0834	17.8862	7.8896	21.3816
CARD16|114769	40.8748	19.0374	10.932	23.9837	53.912	309.7588
CARD17|440068	0	0.3592	0	0	0	1.0965
CARD18|59082	0	0	0	0	0	12.6096
CARD6|84674	94.3558	39.5115	138.4723	57.3171	83.8266	655.7018
CARD8|22900	318.9762	209.7701	319.5515	555.6911	389.2183	779.6053
CARD9|64170	25.2125	19.7557	1.6819	93.9024	527.943	199.0132
CARHSP1|23589	370.3791	253.3477	456.2102	357.1179	1264.1046	1379.057
CARKD|55739	1434.82	1194.6839	1251.0161	1502.439	578.239	689.1447
CARM1|10498	963.0408	666.6667	983.602	894.7154	2772.8514	2641.4474
CARNS1|57571	12.2242	7.9023	6.7274	35.7724	4.2735	41.6667
CARS2|79587	702.5957	451.6487	579.3833	932.8211	1056.7966	1178.8816
CARS|833	1832.8717	2556.0309	1611.2123	1538.2073	1028.598	1449.5614
CARTPT|9607	0	0	0	0	0	0
CASC1|55259	4.9661	4.6695	3.0834	12.6016	2.3011	0.5482
CASC2|255082	17.9544	36.6379	25.5081	29.2683	48.6523	21.9298
CASC3|22794	1092.1593	1442.5287	1263.9103	994.7154	2481.5951	2218.2018
CASC4|113201	6157.9601	6372.8448	5961.5978	5734.1463	2074.9541	1548.2456
CASC5|57082	293.7637	245.6897	332.4457	75.6098	214.333	40.0219
CASD1|64921	964.1868	1193.6063	1624.3868	1881.7073	521.0396	416.1184
CASKIN1|57524	5.8485	0.3951	2.6769	0.8862	5.6377	1.5789
CASKIN2|57513	920.8901	1166.5266	711.5375	910.5244	702.1872	786.5625
CASK|8573	516.0921	246.7672	661.5277	650.4065	534.5176	902.4123
CASP10|843	173.0494	104.5259	30.5536	123.1707	131.4927	242.3246
CASP12|120329	1.146	1.4368	2.8031	2.8455	0	3.2895
CASP14|23581	0	0	0	0	0	0
CASP1|834	139.8147	43.4626	16.2579	84.9593	108.4814	319.6272
CASP2|835	735.7463	529.0948	433.3567	661.7886	634.1233	1220.3947
CASP3|836	409.894	393.6782	893.3427	551.2195	476.6609	876.0965
CASP4|837	527.9343	219.8276	410.3714	639.0244	614.0707	891.4474
CASP5|838	1.528	1.0776	1.1212	0.4065	1.6437	11.5132
CASP6|839	593.6396	382.9023	463.0694	403.252	184.0897	240.1316
CASP7|840	539.3945	417.3851	146.321	561.7886	444.7739	412.2807
CASP8AP2|9994	212.7781	214.4397	350.1051	130.0813	390.5332	189.693
CASP8|841	341.1327	343.0316	223.1254	278.8618	483.2355	635.4167
CASP9|842	206.666	198.6351	249.7547	225.2033	131.8214	580.5921
CASQ1|844	0.382	1.796	0.2803	1.626	0	1.0965
CASQ2|845	64.1773	14.0086	16.5382	4.065	2.6299	2.7412
CASR|846	680.7373	8.9799	0.8409	89.8374	11.1769	1.0965
CASS4|57091	12.9883	7.9023	5.6062	19.9187	30.2433	55.3728
CAST|831	6511.7754	5123.1861	8911.2011	4373.8211	5703.678	4203.4156
CASZ1|54897	1060.8347	496.7672	625.9285	365.0407	77.2519	16.9956
CATSPER1|117144	0.764	0.7184	5.8865	0	92.0449	45.5044
CATSPER2P1|440278	28.2189	38.1537	45.2698	44.8862	14.9573	15.9265
CATSPER2|117155	29.3114	37.3312	22.705	28.4553	11.5056	50.9868
CATSPER3|347732	27.1225	16.9828	30.7863	46.3415	5.0362	3.2895
CATSPER4|378807	0	0	0	0	0	0
CATSPERB|79820	1.528	1.0776	3.0834	2.0325	2.6299	0
CATSPERG|57828	26.3585	27.658	14.2957	6.9106	2.3011	8.2237
CAT|847	8420.9722	7645.1149	7372.1093	2586.5854	1821.502	589.364
CAV1|857	2454.7799	5135.0575	1133.0063	2477.6423	19619.3616	2234.6491
CAV2|858	4100.468	5779.454	1410.2313	3874.3902	5314.6044	791.6667
CAV3|859	0	0	0	0	0	0
CBARA1|10367	1075.351	1071.8391	1210.6517	1067.4797	1839.2535	936.4035
CBFA2T2|9139	738.0384	1007.5431	1327.8206	553.252	883.3019	906.25
CBFA2T3|863	26.7405	12.931	18.7807	20.3252	212.0319	61.4035
CBFB|865	306.37	319.6839	539.0329	958.9431	966.1423	1712.7193
CBLB|868	292.6177	485.9914	196.4961	230.0813	1503.6185	516.9956
CBLC|23624	182.2176	75.7902	118.2901	123.9837	3.616	1.6447
CBLL1|79872	1211.7276	1156.25	1647.3721	1078.8618	715.32	401.3158
CBLN1|869	12.2242	0.3592	3.644	5.6911	0.3287	3.8377
CBLN2|147381	4.2021	1.4368	0	0	6.2459	0.5482
CBLN3|643866	92.4458	59.6264	75.1226	56.5041	11.1769	89.364
CBLN4|140689	6.1121	4.6695	16.5382	19.5122	0	2.7412
CBL|867	1148.3144	799.2098	1120.953	980.4878	2177.8471	866.7763
CBR1|873	7989.9456	6452.0654	3545.0231	1882.5407	1014.2719	1746.6447
CBR3|874	332.3465	183.8829	82.1303	63.8211	44.7075	294.386
CBR4|84869	733.0723	835.4885	892.5018	744.7154	252.4659	263.1579
CBS|875	63.4132	35.2011	23.8262	925.2033	1196.9119	129.386
CBWD1|55871	935.5362	1149.0661	1400.7008	205.6911	597.9629	185.8553
CBWD2|150472	628.0202	367.4569	565.9425	429.6748	435.5694	559.7588
CBWD3|445571	275.0454	171.8894	191.1703	172.8455	108.6425	117.0066
CBWD5|220869	0	4.4756	0	1.1382	6.4136	0.8662
CBWD6|644019	139.8147	67.5287	162.0182	86.9919	132.8076	165.5702
CBX1|10951	874.4151	778.7356	1192.4317	706.0976	1218.9369	1561.9518
CBX2|84733	31.7066	28.3764	27.4702	61.7886	136.0949	430.9211
CBX3|11335	3002.5786	3095.546	3037.7015	1925.2033	3766.2784	3248.3553
CBX4|8535	438.5446	979.5259	403.0834	1854.4715	886.918	774.1228
CBX5|23468	4906.1217	3550.2874	5805.466	2434.1463	2955.6262	2364.0351
CBX6|23466	474.8353	220.1868	697.4071	539.8374	1375.7419	433.6623
CBX7|23492	1363.0026	1498.5632	1257.7435	1019.5122	436.2269	344.2982
CBX8|57332	87.0977	309.6264	78.7666	136.9919	228.7972	381.5789
CBY1|25776	467.0805	502.0259	838.3686	518.5244	641.6053	1181.2939
CC2D1A|54862	1888.2628	1713.3621	2028.0308	1676.4228	850.1	1569.0789
CC2D1B|200014	558.1129	739.5833	773.9313	1623.9837	586.1285	1700.6579
CC2D2A|57545	285.3596	207.6149	113.8052	123.5772	407.6272	105.8114
CC2D2B|387707	1.528	1.4332	0.6055	2.439	0	3.2895
CCAR1|55749	800.6876	742.0977	1423.6861	722.3577	1445.433	780.7018
CCBE1|147372	356.795	864.9425	472.3196	279.2683	2279.0964	89.9123
CCBL1|883	88.6257	146.9109	63.0694	30.0813	138.0673	101.9737
CCBL2|56267	470.0793	370.1509	570.9769	260.3862	515.4939	219.2982
CCBP2|1238	56.9191	53.8793	67.8346	306.0976	96.9758	5.4825
CCDC101|112869	124.9164	413.7931	257.8837	399.187	131.1639	519.1886
CCDC102A|92922	33.6167	11.1351	15.417	66.6667	156.1475	280.7018
CCDC102B|79839	35.1447	25.8621	32.7961	32.5203	49.9672	220.3947
CCDC103|388389	19.1004	8.9799	22.1444	20.3252	85.4702	110.7456
CCDC104|112942	191.7677	379.6695	272.74	247.9675	1467.1293	786.7325
CCDC105|126402	0	0	0	0	0	1.0965
CCDC106|29903	444.2747	581.8966	491.3805	273.5772	233.3995	236.8421
CCDC107|203260	522.3799	366.5769	282.1948	547.439	286.7362	1090.4112
CCDC108|255101	0.382	0	0	0	0.3287	0.5482
CCDC109A|90550	884.7293	638.6494	745.9005	613.4146	1563.7764	408.9912
CCDC109B|55013	80.9856	237.4282	31.3945	53.252	149.5729	365.1316
CCDC110|256309	124.9164	107.0402	124.7372	50.4065	6.9034	8.7719
CCDC111|201973	103.6348	214.5079	278.9965	138.6057	146.588	145.784
CCDC112|153733	101.614	27.2989	123.8963	106.5041	550.2968	150.7675
CCDC113|29070	111.5462	87.6437	163.7001	345.122	139.0535	71.2719
CCDC114|93233	47.7509	22.2701	14.576	34.9593	4.931	18.6404
CCDC115|84317	566.517	423.4914	443.4478	821.9512	809.666	650.2193
CCDC116|164592	1.528	0.7184	7.288	1.626	0.9862	13.1579
CCDC117|150275	224.2384	350.2155	416.2579	772.3577	848.7851	1386.5132
CCDC11|220136	6.8761	13.6494	16.8185	12.1951	6.9034	4.386
CCDC120|90060	258.237	93.0316	238.8227	220.7317	153.5177	264.8026
CCDC121|79635	102.378	112.7874	166.5032	107.3171	30.572	48.7939
CCDC122|160857	16.8083	25.8621	43.7281	28.4553	29.9146	29.057
CCDC123|84902	309.808	535.2011	157.5333	239.8374	504.2743	489.5833
CCDC124|115098	1430.9999	1539.8707	1377.7155	1509.3496	1452.0076	2600.8772
CCDC125|202243	193.2958	183.1897	196.4961	235.7724	179.1587	170.5044
CCDC126|90693	466.0491	207.6149	565.9425	213.8211	84.484	138.1579
CCDC127|133957	323.5603	301.7241	687.5964	556.5041	344.5108	415.0219
CCDC129|223075	2.6741	0	0	0.4065	0	0.5482
CCDC12|151903	783.4973	1031.9684	817.3791	764.2276	346.1544	1070.1754
CCDC130|81576	380.8614	611.3506	378.1359	586.9919	511.1777	1606.9079
CCDC132|55610	754.0827	792.3851	1406.3069	1114.6341	390.5332	226.9737
CCDC134|79879	188.7117	231.681	374.2116	322.3577	134.1225	60.307
CCDC135|84229	0	0	0	1.626	1.3149	2.7412
CCDC136|64753	5.7301	3.2328	3.0834	6.5041	29.9146	256.5789
CCDC137|339230	350.6828	557.4713	350.946	468.2927	501.6445	1582.2368
CCDC138|165055	9.1682	9.3391	5.8865	4.065	71.9922	52.6316
CCDC13|152206	42.7848	88.0029	40.925	39.8374	2.6299	22.4781
CCDC140|151278	0	0	0	0	0	0
CCDC141|285025	7.6401	3.592	994.8143	5.6911	3.2873	1.6447
CCDC142|84865	70.2894	36.9971	54.3798	56.9106	263.0609	225.455
CCDC144A|9720	17.0796	159.2744	120.1177	30.2805	44.5957	6.5789
CCDC144B|284047	71.2788	35.9195	18.4751	12.6016	57.528	21.9298
CCDC144C|348254	1.91	3.9511	3.9243	0	1.9724	1.6447
CCDC144NL|339184	0.382	0	0	0	0.3287	1.6447
CCDC146|57639	30.9426	107.3994	83.2516	92.2764	27.2847	46.6009
CCDC147|159686	6.1121	5.7471	3.9243	32.5203	6.2459	12.6096
CCDC148|130940	4.5841	4.6695	12.3336	17.0732	2.9586	10.4167
CCDC149|91050	341.8967	134.6983	88.5774	484.1463	81.1967	622.2588
CCDC14|64770	302.1679	392.9598	210.5116	221.1382	452.3347	1138.7061
CCDC150|284992	9.5502	3.2328	3.0834	2.0325	13.8067	66.886
CCDC151|115948	1465.3806	2063.2184	1568.0448	813.4146	5.9172	117.3246
CCDC152|100129792	161.4516	71.8714	94.2817	59.7114	15.7857	291.5241
CCDC153|283152	7.2581	10.7759	0.8409	1.626	4.6022	12.0614
CCDC154|645811	0.382	2.1552	0.2803	26.8293	0.9862	25.7675
CCDC155|147872	0.764	1.0776	0	1.2195	0	0
CCDC157|550631	21.8776	41.0237	27.5543	105.378	21.43	36.1842
CCDC158|339965	0	0	0	0.813	0	0
CCDC159|126075	200.5539	210.1293	156.4121	226.8293	177.5151	350.3289
CCDC15|80071	39.3468	61.0632	75.9636	26.0163	53.5833	33.9912
CCDC160|347475	1.91	0.3592	5.3259	26.0163	0.3287	0
CCDC163P|126661	12.6062	33.7644	11.2123	15.4472	6.2459	10.9649
CCDC17|149483	5.3481	2.1552	2.5228	6.9106	1.9724	26.864
CCDC18|343099	14.5163	21.1925	25.794	8.5366	100.9206	132.6754
CCDC19|25790	1.146	0.7184	1.1212	0.4065	101.2493	49.3421
CCDC21|64793	850.3486	381.1063	912.4036	993.4959	308.0215	239.0351
CCDC22|28952	503.4782	717.6688	482.6882	558.4837	499.1527	428.0099
CCDC23|374969	228.4405	131.4655	119.6917	125.2033	186.7196	271.9298
CCDC24|149473	171.1661	207.6904	112.2943	198.2724	76.6273	397.9934
CCDC25|55246	1348.1043	1262.5718	1195.2348	547.9675	880.3433	473.6842
CCDC27|148870	0.764	0	0.2803	0	0	0.5482
CCDC28A|25901	493.9356	575.0718	454.0995	314.2276	207.1009	273.5746
CCDC28B|79140	466.8131	529.8132	494.4639	93.9024	110.7826	583.3333
CCDC30|728621	17.1903	40.2299	21.0231	30.0813	5.5884	104.1667
CCDC33|80125	2.6741	2.5144	1.6819	2.0325	0.6575	0.5482
CCDC34|91057	1368.7327	1652.2989	246.391	467.0732	181.7886	512.0614
CCDC36|339834	1.91	1.0776	58.0238	2.0325	0.9862	4.9342
CCDC37|348807	0	0	0	0	0	0
CCDC38|120935	0	0	0	0	0	0
CCDC39|339829	11.4602	10.4167	4.7652	2.439	12.4918	24.1502
CCDC3|83643	108.8721	52.8017	86.6153	134.1463	97.3046	22.4781
CCDC40|55036	56.1551	45.2586	31.6748	65.4472	47.9948	230.2632
CCDC41|51134	81.7496	195.4023	216.6783	179.2683	421.434	197.3684
CCDC42B|387885	1.0047	0.8872	1.3707	6.5976	4.5759	19.7314
CCDC42|146849	1.146	0	0	0.4065	0.3287	2.7412
CCDC43|124808	434.3425	411.2787	436.1598	227.6423	361.9335	514.8026
CCDC45|90799	190.2397	376.0776	226.7694	329.2683	495.3986	573.4649
CCDC46|201134	89.0077	42.0259	12.6139	66.2602	201.5125	145.2851
CCDC47|57003	3169.1338	3691.4511	2712.8241	2438.2114	1595.0059	1679.8246
CCDC48|79825	40.1108	5.7471	7.8486	13.8211	24.6549	9.3202
CCDC50|152137	2005.1571	3563.2184	1973.651	1040.6504	2252.4692	1040.5702
CCDC51|79714	245.2488	207.6149	454.0995	145.122	277.7782	424.8904
CCDC52|152185	250.9789	451.5086	171.2684	160.9756	267.5876	257.6754
CCDC53|51019	831.6302	631.8247	683.9523	558.9431	404.0112	569.6272
CCDC54|84692	3.0561	0.7184	0.2803	0.4065	0.3287	0
CCDC55|84081	441.6006	505.0287	500.0701	460.5691	667.9827	706.1404
CCDC56|28958	1326.5782	2569.7989	666.6994	1840.935	550.4578	1165.5702
CCDC57|284001	66.0873	226.2931	56.9026	163.0081	411.2433	381.5789
CCDC58|131076	338.4586	511.8534	648.9138	152.0325	192.308	416.6667
CCDC59|29080	364.4351	702.9454	520.5326	529.6748	575.2804	537.2807
CCDC60|160777	0	0	0	0.4065	0	0
CCDC61|729440	210.4861	283.4052	111.5627	180.8943	154.5039	331.6886
CCDC62|84660	3.0561	0.3592	0.5606	0.813	8.2183	4.386
CCDC63|160762	0	0	0	0	0	3.8377
CCDC64B|146439	72.9634	1.4368	33.3567	174.7967	5.5884	1.6447
CCDC64|92558	1087.1932	1367.8161	1087.0357	1761.7886	43.0638	16.4474
CCDC65|85478	4.2021	12.2126	5.3259	9.3496	1.9724	4.386
CCDC66|285331	198.3879	303.046	115.0049	129.3659	194.4875	267.6425
CCDC67|159989	0	0	0.2803	0	0.9862	0
CCDC68|80323	296.0558	143.319	713.3847	565.0407	4.6022	44.4079
CCDC69|26112	1398.1473	230.9626	403.0834	562.1951	195.9241	579.4956
CCDC6|8030	1530.7038	1024.0661	1456.4821	930.4878	3266.935	559.7588
CCDC70|83446	0	0	0	0.8293	0	0
CCDC71|64925	543.2146	581.1782	770.5676	295.5285	301.7756	564.693
CCDC72|51372	2294.7187	2608.477	2431.9552	1246.3415	854.3735	2978.0702
CCDC73|493860	25.69	70.2371	36.5186	12.6707	23.4024	98.3662
CCDC74A|90557	21.0104	32.6868	16.2579	60.1626	26.956	52.0833
CCDC74B|91409	8.0222	25.1437	8.4093	33.3333	9.2045	7.1272
CCDC75|253635	49.279	54.9569	73.7211	24.3902	155.8188	20.8333
CCDC76|54482	135.2574	167.1659	196.0364	138.0285	226.7985	308.5746
CCDC77|84318	144.7808	155.1724	190.0491	101.2195	327.088	248.9035
CCDC78|124093	38.2007	59.9856	121.6538	123.5772	88.7575	273.0263
CCDC79|283847	0	0	0	0	0	1.6447
CCDC7|221016	38.2007	56.3937	29.993	30.8943	52.5642	22.3958
CCDC80|151887	439.3086	238.8649	1331.7449	27.2358	43342.2803	5701.7544
CCDC81|60494	9.9322	5.0287	1.6819	5.2846	4.931	10.4167
CCDC82|79780	396.5237	313.2184	528.1009	470.3252	387.2459	432.5658
CCDC83|220047	0	0	0	0.4065	0	0
CCDC84|338657	115.7483	235.273	142.3966	260.1626	58.5142	307.0175
CCDC85A|114800	155.3128	12.931	134.8367	101.4715	1.6437	22.4781
CCDC85B|11007	278.8654	151.5805	206.3069	478.0488	1310.9818	1687.5
CCDC85C|317762	2746.6221	440.5172	1593.7267	2776.1829	496.7661	406.557
CCDC86|79080	539.7765	894.3966	598.7386	830.0772	1307.6945	2344.83
CCDC87|55231	35.5267	19.3966	21.8641	11.3821	3.2873	4.9342
CCDC88A|55704	307.898	283.7644	95.5851	129.2683	3243.2663	1355.8114
CCDC88B|283234	138.6687	159.1236	77.3651	289.0244	164.6946	512.6096
CCDC88C|440193	76.0195	22.9885	17.3791	76.4228	440.1717	41.6667
CCDC89|220388	106.1981	28.3764	0.8409	0.813	2.9586	65.7895
CCDC8|83987	1359.5645	486.7098	5.8865	752.439	383.3011	684.7588
CCDC90A|63933	382.3895	383.6207	719.5515	549.187	417.1604	466.0088
CCDC90B|60492	799.6295	351.2536	708.8942	531.6382	762.9598	807.5274
CCDC91|55297	1023.0159	1196.1207	880.7288	659.7561	736.0301	587.1711
CCDC92|80212	773.1831	778.3764	884.9334	1098.374	829.3899	2501.6447
CCDC93|54520	1287.3651	1135.0575	1300.6307	1239.0244	1710.3907	639.8026
CCDC94|55702	303.3139	692.1695	458.5844	533.3333	295.8585	533.9912
CCDC96|257236	126.0625	52.0833	70.6377	89.8374	91.0587	96.4912
CCDC97|90324	849.9666	586.5661	359.6356	513.0081	512.8214	718.2018
CCDC99|54908	144.3988	149.7845	128.1009	90.2439	344.8395	584.9781
CCDC9|26093	555.8208	825.0718	312.8241	1596.3415	400.3951	796.0526
CCHCR1|54535	90.9178	419.8994	178.5564	348.374	890.2053	1087.7193
CCIN|881	2.292	2.1552	0.8409	1.626	27.2847	24.1228
CCKAR|886	1184.9871	103.8075	1.1212	0.813	0	1.0965
CCKBR|887	0	0	0	0	0	1.0965
CCK|885	0.382	0	0	0	0	0.5482
CCL11|6356	0	0.3592	0	0	122.6169	26.864
CCL13|6357	0.764	0.7184	0	0.4065	4.6022	37.2807
CCL14-CCL15|348249	2.4028	1.8427	0	0	0	0
CCL14|6358	274.1324	22.9921	15.6973	78.4553	195.592	200.1042
CCL15|6359	33.269	9.6516	0	0	0	0
CCL16|6360	0.764	0	0	0.4065	0	0.5482
CCL17|6361	0	0	0	2.0325	0.3287	1.6447
CCL18|6362	100.086	26.9397	58.0238	21.9512	61.4728	591.557
CCL19|6363	2.292	0	0	2.8455	4.2735	1.0965
CCL1|6346	0	0	0	0	0	1.0965
CCL20|6364	3.8201	11.1351	1.1212	30.0813	37.1467	43.8596
CCL21|6366	1159.3926	8.6207	243.8683	175.2033	2371.7988	2.193
CCL22|6367	3.4381	0.7184	1.4015	11.7886	7.2321	0.5482
CCL23|6368	0.382	1.0776	0	0	1.3149	2.193
CCL24|6369	1.528	0.7184	0.2803	0	0.3287	0
CCL25|6370	2.292	0	1.1212	0.4065	0	0
CCL26|10344	1.146	0.7184	0.5606	0	1.3149	145.2851
CCL27|10850	0	0	0.2803	0.4065	0.3287	1.6447
CCL28|56477	56.1551	0.3592	11.2123	0.4065	2.3011	9.8684
CCL2|6347	69.9074	89.0805	32.5158	93.0894	364.2347	654.6053
CCL3L1|6349	22.9854	15.6897	11.4926	7.3171	3.9448	31.7982
CCL3L3|414062	2.2271	0.8333	0	0	0	0
CCL3|6348	79.4575	44.8994	8.9699	15.8537	21.0388	248.3553
CCL4L2|388372	50.043	47.773	17.9397	19.5122	18.409	71.2719
CCL4|6351	59.9752	53.1609	11.2123	31.3008	42.7351	103.0702
CCL5|6352	291.8537	183.5489	33.9173	366.2602	449.3761	269.1886
CCL7|6354	0.382	0.3592	0.2803	0.4065	1.9724	46.0526
CCL8|6355	11.8422	8.2615	3.0834	2.8455	4.931	226.9737
CCM2|83605	1639.958	914.1523	977.7155	1695.5285	931.9542	3900.2193
CCNA1|8900	97.0299	1.0776	0.5606	2.0325	4.2735	0
CCNA2|890	346.752	172.6724	651.2628	152.7317	536.97	653.9693
CCNB1IP1|57820	2649.6037	3091.2356	2618.3602	1732.9268	901.3822	871.7105
CCNB1|891	933.6262	462.2845	1127.4001	353.6585	1277.7799	1625
CCNB2|9133	325.4703	150.8621	289.8388	106.5041	427.3511	405.1535
CCNB3|85417	8.0222	3.2328	15.417	5.6911	1.9724	3.2895
CCNC|892	1636.5199	1521.1925	1806.3069	1367.8862	679.817	368.4211
CCND1|595	4037.3641	24752.9382	4297.679	4388.7967	4329.6061	2499.8355
CCND2|894	169.6113	107.3994	103.9944	242.2764	2085.8022	198.4649
